time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
8.80769273e-09,4.48100000e-01,4.06599999e+03,8.90997146e-04,7.12940784e-01,7.12940784e-01,6.91380085e-02,2.76552034e-01,1.90151937e-04,2.28182325e-03,2.13148288e-06,2.77092774e-05,4.61284477e-08,5.99669820e-07,5.70895790e-05,7.99254106e-04,3.78327029e-08,5.67490544e-07,1.74859798e-12,2.44803717e-11,1.30339506e-08,1.95509259e-07,3.62073493e-04,5.79317589e-03,1.37611006e-07,2.33938711e-06,6.71753061e-07,1.20915551e-05,4.73676782e-10,8.05250529e-09,9.43388350e-13,1.69809903e-11,7.17611355e-05,1.43522271e-03
9.49387718e-09,4.48100000e-01,4.06599999e+03,8.57660641e-04,7.12940768e-01,7.12940768e-01,6.91380195e-02,2.76552078e-01,1.90155286e-04,2.28186343e-03,2.13141459e-06,2.77083897e-05,4.97231726e-08,6.46401243e-07,5.70886556e-05,7.99241179e-04,3.49134164e-08,5.23701246e-07,2.03170881e-12,2.84439233e-11,1.40492783e-08,2.10739175e-07,3.62073458e-04,5.79317533e-03,1.37587247e-07,2.33898320e-06,6.67709998e-07,1.20187800e-05,5.10579670e-10,8.67985439e-09,1.01645286e-12,1.82961516e-11,7.17611355e-05,1.43522271e-03
1.02335205e-08,4.48100000e-01,4.06599999e+03,8.31212588e-04,7.12940752e-01,7.12940752e-01,6.91380308e-02,2.76552123e-01,1.90158327e-04,2.28189993e-03,2.13134099e-06,2.77074329e-05,5.35979943e-08,6.96773925e-07,5.70876603e-05,7.99227245e-04,3.23082946e-08,4.84624419e-07,2.36065720e-12,3.30492008e-11,1.51436892e-08,2.27155339e-07,3.62073421e-04,5.79317473e-03,1.37561642e-07,2.33854791e-06,6.63379197e-07,1.19408256e-05,5.50357561e-10,9.35607853e-09,1.09513989e-12,1.97125181e-11,7.17611355e-05,1.43522271e-03
1.10307874e-08,4.48100000e-01,4.06599999e+03,8.11677721e-04,7.12940735e-01,7.12940735e-01,6.91380423e-02,2.76552169e-01,1.90161061e-04,2.28193274e-03,2.13126166e-06,2.77064015e-05,5.77747289e-08,7.51071476e-07,5.70865875e-05,7.99212225e-04,3.00125720e-08,4.50188579e-07,2.74286430e-12,3.84001002e-11,1.63233415e-08,2.44850123e-07,3.62073381e-04,5.79317409e-03,1.37534047e-07,2.33807879e-06,6.58742448e-07,1.18573641e-05,5.93234437e-10,1.00849854e-08,1.17987624e-12,2.12377723e-11,7.17611355e-05,1.43522271e-03
1.18901674e-08,4.48100000e-01,4.06599999e+03,7.98976605e-04,7.12940717e-01,7.12940717e-01,6.91380542e-02,2.76552217e-01,1.90163495e-04,2.28196195e-03,2.13117614e-06,2.77052899e-05,6.22768910e-08,8.09599583e-07,5.70854311e-05,7.99196036e-04,2.80150538e-08,4.20225807e-07,3.18695266e-12,4.46173372e-11,1.75948727e-08,2.63923090e-07,3.62073337e-04,5.79317340e-03,1.37504308e-07,2.33757324e-06,6.53780750e-07,1.17680535e-05,6.39451730e-10,1.08706794e-08,1.27112016e-12,2.28801629e-11,7.17611355e-05,1.43522271e-03
1.28164995e-08,4.48100000e-01,4.06599999e+03,7.92934528e-04,7.12940698e-01,7.12940698e-01,6.91380666e-02,2.76552266e-01,1.90165641e-04,2.28198769e-03,2.13108398e-06,2.77040917e-05,6.71298257e-08,8.72687735e-07,5.70841847e-05,7.99178586e-04,2.62985873e-08,3.94478809e-07,3.70294069e-12,5.18411697e-11,1.89654367e-08,2.84481551e-07,3.62073291e-04,5.79317266e-03,1.37472260e-07,2.33702841e-06,6.48474343e-07,1.16725382e-05,6.89269685e-10,1.17175846e-08,1.36936353e-12,2.46485435e-11,7.17611355e-05,1.43522271e-03
1.38149996e-08,4.48100000e-01,4.06599999e+03,7.93295861e-04,7.12940678e-01,7.12940678e-01,6.91380793e-02,2.76552317e-01,1.90167513e-04,2.28201015e-03,2.13098463e-06,2.77028002e-05,7.23608517e-08,9.40691072e-07,5.70828412e-05,7.99159776e-04,2.48408406e-08,3.72612609e-07,4.30246865e-12,6.02345612e-11,2.04427444e-08,3.06641166e-07,3.62073241e-04,5.79317186e-03,1.37437723e-07,2.33644129e-06,6.42802751e-07,1.15704495e-05,7.42968815e-10,1.26304699e-08,1.47513409e-12,2.65524137e-11,7.17611355e-05,1.43522271e-03
1.48912903e-08,4.48100000e-01,4.06599999e+03,7.99743250e-04,7.12940658e-01,7.12940658e-01,6.91380927e-02,2.76552371e-01,1.90169130e-04,2.28202956e-03,2.13087755e-06,2.77014081e-05,7.79994144e-08,1.01399239e-06,5.70813930e-05,7.99139502e-04,2.36153563e-08,3.54230344e-07,4.99906115e-12,6.99868561e-11,2.20351064e-08,3.30526597e-07,3.62073187e-04,5.79317100e-03,1.37400505e-07,2.33580859e-06,6.36744839e-07,1.14614071e-05,8.00851494e-10,1.36144754e-08,1.58899794e-12,2.86019629e-11,7.17611355e-05,1.43522271e-03
1.60514320e-08,4.48100000e-01,4.06599999e+03,8.11920461e-04,7.12940636e-01,7.12940636e-01,6.91381066e-02,2.76552426e-01,1.90170510e-04,2.28204612e-03,2.13076213e-06,2.76999077e-05,8.40772520e-08,1.09300428e-06,5.70798320e-05,7.99117648e-04,2.25928081e-08,3.38892122e-07,5.80843216e-12,8.13180503e-11,2.37514801e-08,3.56272201e-07,3.62073130e-04,5.79317008e-03,1.37360399e-07,2.33512679e-06,6.30278892e-07,1.13450201e-05,8.63243648e-10,1.46751420e-08,1.71156198e-12,3.08081156e-11,7.17611355e-05,1.43522271e-03
1.73019574e-08,4.48100000e-01,4.06599999e+03,8.29457368e-04,7.12940612e-01,7.12940612e-01,6.91381212e-02,2.76552485e-01,1.90171674e-04,2.28206008e-03,2.13063773e-06,2.76982905e-05,9.06285737e-08,1.17817146e-06,5.70781494e-05,7.99094092e-04,2.17423777e-08,3.26135666e-07,6.74883945e-12,9.44837522e-11,2.56015195e-08,3.84022792e-07,3.62073068e-04,5.79316909e-03,1.37317182e-07,2.33439209e-06,6.23382712e-07,1.12208888e-05,9.30496596e-10,1.58184421e-08,1.84347663e-12,3.31825793e-11,7.17611355e-05,1.43522271e-03
